"<54>Aug 28 16:51:51 HL-ANTIVIRUS SymantecServer: ADPTKLT212","SHA-256: ","MD-5: ","Local: 192.168.0.8","Local: 3","Local: D43B047D4731","Remote: 208.59.247.46","Remote: ","Remote: 3","Remote: 5C8FE01D8667","ICMP","Outbound","Begin: 2019-08-28 14:58:52","End: 2019-08-28 14:58:52","Occurrences: 1","Application: ","Rule: Block all other IP traffic and log","Location: External","User: jdimauro","Domain: ADAPTIK","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<54>Aug 28 17:04:19 HL-ANTIVIRUS SymantecServer: ADPTKLT186","SHA-256: ","MD-5: ","Local: 192.168.0.2","Local: 3","Local: D43B04F48490","Remote: 123.176.37.35","Remote: ","Remote: 3","Remote: 48EE0C1CB1E4","ICMP","Outbound","Begin: 2019-08-28 14:58:51","End: 2019-08-28 14:58:51","Occurrences: 1","Application: ","Rule: Block all other IP traffic and log","Location: External","User: pkondapally","Domain: ADAPTIK","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<54>Aug 28 15:06:19 HL-ANTIVIRUS SymantecServer: SZLT-SebastianP","SHA-256: ","MD-5: ","Local: 192.168.1.20","Local: 3","Local: 184F3299BC15","Remote: 192.168.1.1","Remote: wpad.poland.asseco.corp","Remote: 3","Remote: 1C675887E93E","ICMP","Outbound","Begin: 2019-08-28 14:58:50","End: 2019-08-28 14:58:50","Occurrences: 1","Application: ","Rule: Block all other IP traffic and log","Location: External","User: sebastianp","Domain: SAPIENS","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<54>Aug 28 15:06:19 HL-ANTIVIRUS SymantecServer: SZLT-SebastianP","SHA-256: ","MD-5: ","Local: 10.58.97.203","Local: 3","Local: 0205857FEB80","Remote: 172.16.0.18","Remote: poland.asseco.corp","Remote: 3","Remote: 0200AC100012","ICMP","Outbound","Begin: 2019-08-28 14:58:50","End: 2019-08-28 14:58:50","Occurrences: 1","Application: ","Rule: Block all other IP traffic and log","Location: External","User: sebastianp","Domain: SAPIENS","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<54>Aug 28 16:07:59 HL-ANTIVIRUS SymantecServer: ADPTKLT156","SHA-256: ","MD-5: ","Local: 192.168.0.19","Local: 3","Local: 983B8F7B3B7B","Remote: 209.18.47.63","Remote: ","Remote: 3","Remote: E0885D13FF3E","ICMP","Outbound","Begin: 2019-08-28 14:58:34","End: 2019-08-28 14:58:34","Occurrences: 1","Application: ","Rule: Block all other IP traffic and log","Location: External","User: jkearse","Domain: ADAPTIK","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<54>Aug 28 15:05:19 HL-ANTIVIRUS SymantecServer: HLLT-PF0IZNWB","SHA-256: ","MD-5: ","Local: 192.168.1.21","Local: 3","Local: 4485005D0804","Remote: 192.168.1.1","Remote: ","Remote: 3","Remote: 1C675887E93E","ICMP","Outbound","Begin: 2019-08-28 14:58:30","End: 2019-08-28 14:58:30","Occurrences: 1","Application: ","Rule: Block all other IP traffic and log","Location: External","User: dudi.gura","Domain: SAPIENS","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<54>Aug 28 15:05:01 HL-ANTIVIRUS SymantecServer: INLT1324","SHA-256: ","MD-5: ","Local: 192.168.0.102","Local: 3","Local: 60F677280988","Remote: 192.168.0.1","Remote: ","Remote: 3","Remote: 0C8063857DA6","ICMP","Outbound","Begin: 2019-08-28 14:58:28","End: 2019-08-28 14:58:35","Occurrences: 2","Application: ","Rule: Block all other IP traffic and log","Location: External","User: Rahul.Ash","Domain: SAPIENS","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<54>Aug 28 15:09:01 HL-ANTIVIRUS SymantecServer: INLT732","SHA-256: ","MD-5: ","Local: 10.230.56.227","Local: 3","Local: E4B3188EFC5B","Remote: 10.38.246.77","Remote: ","Remote: 3","Remote: 00000C07AC18","ICMP","Outbound","Begin: 2019-08-28 14:58:20","End: 2019-08-28 14:58:20","Occurrences: 1","Application: ","Rule: Block all other IP traffic and log","Location: External","User: triptee.purwar","Domain: SAPIENS","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<54>Aug 28 15:06:19 HL-ANTIVIRUS SymantecServer: SZLT-SebastianP","SHA-256: ","MD-5: ","Local: 192.168.1.20","Local: 3","Local: 184F3299BC15","Remote: 192.168.1.1","Remote: wpad.poland.asseco.corp","Remote: 3","Remote: 1C675887E93E","ICMP","Outbound","Begin: 2019-08-28 14:58:18","End: 2019-08-28 14:58:18","Occurrences: 1","Application: ","Rule: Block all other IP traffic and log","Location: External","User: sebastianp","Domain: SAPIENS","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<54>Aug 28 15:06:19 HL-ANTIVIRUS SymantecServer: SZLT-SebastianP","SHA-256: ","MD-5: ","Local: 10.58.97.203","Local: 3","Local: 0205857FEB80","Remote: 172.16.0.18","Remote: poland.asseco.corp","Remote: 3","Remote: 0200AC100012","ICMP","Outbound","Begin: 2019-08-28 14:58:18","End: 2019-08-28 14:58:24","Occurrences: 3","Application: ","Rule: Block all other IP traffic and log","Location: External","User: sebastianp","Domain: SAPIENS","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<54>Aug 28 16:51:51 HL-ANTIVIRUS SymantecServer: ADPTKLT212","SHA-256: ","MD-5: ","Local: 192.168.0.8","Local: 3","Local: D43B047D4731","Remote: 208.59.247.46","Remote: ","Remote: 3","Remote: 5C8FE01D8667","ICMP","Outbound","Begin: 2019-08-28 14:58:14","End: 2019-08-28 14:58:14","Occurrences: 1","Application: ","Rule: Block all other IP traffic and log","Location: External","User: jdimauro","Domain: ADAPTIK","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<54>Aug 28 16:01:59 HL-ANTIVIRUS SymantecServer: adptklt204","SHA-256: ","MD-5: ","Local: 192.168.0.59","Local: 3","Local: 000EC68E1A10","Remote: 192.168.0.1","Remote: ","Remote: 3","Remote: 588BF361E2BF","ICMP","Outbound","Begin: 2019-08-28 14:58:12","End: 2019-08-28 14:58:12","Occurrences: 1","Application: ","Rule: Block all other IP traffic and log","Location: External","User: jwilson","Domain: ADAPTIK","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<54>Aug 28 16:05:19 HL-ANTIVIRUS SymantecServer: SIMONP-1299","SHA-256: ","MD-5: ","Local: 192.168.0.17","Local: 3","Local: 34E12D8E0A30","Remote: 192.168.0.1","Remote: ","Remote: 3","Remote: 788DF7E8FFD2","ICMP","Outbound","Begin: 2019-08-28 14:58:11","End: 2019-08-28 14:58:11","Occurrences: 1","Application: ","Rule: Block all other IP traffic and log","Location: External","User: simon.p","Domain: SAPIENS","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<52>Aug 28 18:00:01 HL-ANTIVIRUS SymantecServer: US0110","SHA-256: 93b2ed4004ed5f7f3039dd7ecbd22c7e4e24b6373b4d9ef8d6e45a179b13a5e8","MD-5: C78655BC80301D76ED4FEF1C1EA40A7D","Local: 0.0.0.0","Local: 1900","Local: E4B31874F6C6","Remote: 0.0.0.0","Remote: ","Remote: 1900","Remote: 33330000000C","UDP","Outbound","Begin: 2019-08-28 14:58:11","End: 2019-08-28 14:58:19","Occurrences: 18","Application: C:/Windows/System32/svchost.exe","Rule: Block UPnP Discovery","Location: External","User: LOCAL SERVICE","Domain: NT AUTHORITY","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<52>Aug 28 18:00:01 HL-ANTIVIRUS SymantecServer: US0110","SHA-256: 93b2ed4004ed5f7f3039dd7ecbd22c7e4e24b6373b4d9ef8d6e45a179b13a5e8","MD-5: C78655BC80301D76ED4FEF1C1EA40A7D","Local: 192.168.0.10","Local: 1900","Local: E4B31874F6C6","Remote: 239.255.255.250","Remote: ","Remote: 1900","Remote: 01005E7FFFFA","UDP","Outbound","Begin: 2019-08-28 14:58:11","End: 2019-08-28 14:58:19","Occurrences: 18","Application: C:/Windows/System32/svchost.exe","Rule: Block UPnP Discovery","Location: External","User: LOCAL SERVICE","Domain: NT AUTHORITY","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<54>Aug 28 16:28:39 HL-ANTIVIRUS SymantecServer: KALT-TomaszL","SHA-256: ","MD-5: ","Local: 10.181.10.19","Local: 3","Local: 54EE7525D2C8","Remote: 10.181.100.11","Remote: KTWDC01.sapiens.int","Remote: 3","Remote: 00A5BF471BC6","ICMP","Outbound","Begin: 2019-08-28 14:58:08","End: 2019-08-28 14:58:08","Occurrences: 1","Application: ","Rule: Block all other IP traffic and log","Location: External","User: tomasz.lewicki","Domain: SAPIENS","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<54>Aug 28 16:28:39 HL-ANTIVIRUS SymantecServer: KALT-TomaszL","SHA-256: ","MD-5: ","Local: 10.6.13.223","Local: 3","Local: 00059A3C7A00","Remote: 10.5.32.101","Remote: ","Remote: 3","Remote: 001122334455","ICMP","Outbound","Begin: 2019-08-28 14:58:05","End: 2019-08-28 14:58:05","Occurrences: 1","Application: ","Rule: Block all other IP traffic and log","Location: External","User: tomasz.lewicki","Domain: SAPIENS","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<54>Aug 28 15:40:19 HL-ANTIVIRUS SymantecServer: KADT-LukaszM","SHA-256: ","MD-5: ","Local: 10.6.13.209","Local: 3","Local: 00059A3C7A00","Remote: 10.5.32.101","Remote: ","Remote: 3","Remote: 001122334455","ICMP","Outbound","Begin: 2019-08-28 14:58:02","End: 2019-08-28 14:58:06","Occurrences: 2","Application: ","Rule: Block all other IP traffic and log","Location: External","User: lukasz.marcola","Domain: SAPIENS","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<54>Aug 28 15:23:06 HL-ANTIVIRUS SymantecServer: INLT766","SHA-256: ","MD-5: ","Local: 10.21.33.121","Local: 3","Local: E4A471ED00DA","Remote: 10.21.100.6","Remote: BNGDC02.sapiens.int","Remote: 3","Remote: 78BC1A4880FF","ICMP","Outbound","Begin: 2019-08-28 14:57:58","End: 2019-08-28 14:57:58","Occurrences: 1","Application: ","Rule: Block all other IP traffic and log","Location: External","User: neha.kunjilwar","Domain: SAPIENS","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<54>Aug 28 15:24:19 HL-ANTIVIRUS SymantecServer: ADPTKLT161","SHA-256: ","MD-5: ","Local: 192.168.0.27","Local: 3","Local: 983B8F6D95BB","Remote: 173.44.120.45","Remote: ","Remote: 3","Remote: 78D2948CD602","ICMP","Outbound","Begin: 2019-08-28 14:57:57","End: 2019-08-28 14:57:57","Occurrences: 1","Application: ","Rule: Block all other IP traffic and log","Location: External","User: jmalcolm","Domain: ADAPTIK","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<54>Aug 28 14:59:59 HL-ANTIVIRUS SymantecServer: adptklt223","SHA-256: ","MD-5: ","Local: 10.45.188.90","Local: 3","Local: 025041000001","Remote: 172.17.1.4","Remote: ","Remote: 3","Remote: 025041000002","ICMP","Outbound","Begin: 2019-08-28 14:57:56","End: 2019-08-28 14:57:56","Occurrences: 1","Application: ","Rule: Block all other IP traffic and log","Location: External","User: sfincher","Domain: ADAPTIK","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<54>Aug 28 15:20:59 HL-ANTIVIRUS SymantecServer: KALT-KrzysztofM","SHA-256: ","MD-5: ","Local: 10.181.10.18","Local: 7680","Local: 68F728AF93AA","Remote: 10.181.30.38","Remote: ","Remote: 61404","Remote: 00A5BF471BC6","TCP","Inbound","Begin: 2019-08-28 14:57:52","End: 2019-08-28 14:58:01","Occurrences: 3","Application: ","Rule: Block all other IP traffic and log","Location: External","User: krzysztof.matuszewsk","Domain: SAPIENS","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<54>Aug 28 16:05:19 HL-ANTIVIRUS SymantecServer: SIMONP-1299","SHA-256: ","MD-5: ","Local: 192.168.0.17","Local: 3","Local: 34E12D8E0A30","Remote: 192.168.0.1","Remote: ","Remote: 3","Remote: 788DF7E8FFD2","ICMP","Outbound","Begin: 2019-08-28 14:57:51","End: 2019-08-28 14:57:51","Occurrences: 1","Application: ","Rule: Block all other IP traffic and log","Location: External","User: simon.p","Domain: SAPIENS","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<54>Aug 28 15:20:59 HL-ANTIVIRUS SymantecServer: KALT-KrzysztofM","SHA-256: ","MD-5: ","Local: 10.181.10.18","Local: 7680","Local: 68F728AF93AA","Remote: 10.182.30.8","Remote: ","Remote: 52059","Remote: 00A5BF471BC6","TCP","Inbound","Begin: 2019-08-28 14:57:48","End: 2019-08-28 14:57:57","Occurrences: 3","Application: ","Rule: Block all other IP traffic and log","Location: External","User: krzysztof.matuszewsk","Domain: SAPIENS","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<54>Aug 28 17:20:00 HL-ANTIVIRUS SymantecServer: UXBLT033","SHA-256: ","MD-5: ","Local: 192.168.0.27","Local: 3","Local: E4A4716F4CB7","Remote: 192.168.0.65","Remote: ","Remote: 3","Remote: 0017887CABCD","ICMP","Outbound","Begin: 2019-08-28 14:57:47","End: 2019-08-28 14:57:47","Occurrences: 1","Application: ","Rule: Block all other IP traffic and log","Location: External","User: jan_jansen","Domain: SAPIENS","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<54>Aug 28 17:20:00 HL-ANTIVIRUS SymantecServer: UXBLT033","SHA-256: ","MD-5: ","Local: 192.168.0.27","Local: 3","Local: E4A4716F4CB7","Remote: 192.168.0.35","Remote: ","Remote: 3","Remote: 00178871E36A","ICMP","Outbound","Begin: 2019-08-28 14:57:47","End: 2019-08-28 14:57:47","Occurrences: 1","Application: ","Rule: Block all other IP traffic and log","Location: External","User: jan_jansen","Domain: SAPIENS","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<54>Aug 28 15:40:19 HL-ANTIVIRUS SymantecServer: KADT-LukaszM","SHA-256: ","MD-5: ","Local: 10.6.13.209","Local: 3","Local: 00059A3C7A00","Remote: 10.5.32.102","Remote: ","Remote: 3","Remote: 001122334455","ICMP","Outbound","Begin: 2019-08-28 14:57:41","End: 2019-08-28 14:57:41","Occurrences: 1","Application: ","Rule: Block all other IP traffic and log","Location: External","User: lukasz.marcola","Domain: SAPIENS","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<52>Aug 28 14:58:39 HL-ANTIVIRUS SymantecServer: INLT249","SHA-256: 93b2ed4004ed5f7f3039dd7ecbd22c7e4e24b6373b4d9ef8d6e45a179b13a5e8","MD-5: C78655BC80301D76ED4FEF1C1EA40A7D","Local: 10.21.14.27","Local: 1900","Local: 54EE7540FC3C","Remote: 239.255.255.250","Remote: ","Remote: 1900","Remote: 01005E7FFFFA","UDP","Outbound","Begin: 2019-08-28 14:57:40","End: 2019-08-28 14:57:40","Occurrences: 3","Application: C:/Windows/System32/svchost.exe","Rule: Block UPnP Discovery","Location: External","User: LOCAL SERVICE","Domain: NT AUTHORITY","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<54>Aug 28 15:04:01 HL-ANTIVIRUS SymantecServer: INLT1583","SHA-256: ","MD-5: ","Local: 192.168.0.101","Local: 3","Local: 74E5F9E05AF6","Remote: 192.168.0.1","Remote: ","Remote: 3","Remote: 48EE0C426EDC","ICMP","Outbound","Begin: 2019-08-28 14:57:37","End: 2019-08-28 14:57:37","Occurrences: 1","Application: ","Rule: Block all other IP traffic and log","Location: External","User: Snigdha.Prusty","Domain: SAPIENS","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<54>Aug 28 15:11:19 HL-ANTIVIRUS SymantecServer: HLLT-PC0ZLAUY","SHA-256: ","MD-5: ","Local: 192.168.1.23","Local: 3","Local: 1C1BB5E2CD68","Remote: 80.179.55.100","Remote: ","Remote: 3","Remote: 4C17EBE580EE","ICMP","Outbound","Begin: 2019-08-28 14:57:33","End: 2019-08-28 14:57:33","Occurrences: 1","Application: ","Rule: Block all other IP traffic and log","Location: External","User: einat.komsky","Domain: SAPIENS","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<54>Aug 28 16:01:59 HL-ANTIVIRUS SymantecServer: adptklt204","SHA-256: ","MD-5: ","Local: 192.168.0.59","Local: 3","Local: 000EC68E1A10","Remote: 205.171.2.65","Remote: ","Remote: 3","Remote: 588BF361E2BF","ICMP","Outbound","Begin: 2019-08-28 14:57:33","End: 2019-08-28 14:57:33","Occurrences: 1","Application: ","Rule: Block all other IP traffic and log","Location: External","User: jwilson","Domain: ADAPTIK","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<52>Aug 28 14:58:39 HL-ANTIVIRUS SymantecServer: INLT249","SHA-256: 5379732000000000000000000000000000000000000000000000000000000000","MD-5: 53797320000000000000000000000000","Local: 10.21.33.195","Local: 445","Local: 34689514531D","Remote: 194.194.248.161","Remote: SAPIENS.INT","Remote: 63093","Remote: 78BC1A4880FF","TCP","Inbound","Begin: 2019-08-28 14:57:33","End: 2019-08-28 14:57:33","Occurrences: 1","Application: C:/Windows/system32/NTOSKRNL.EXE","Rule: Block Local File Sharing","Location: External","User: selvaraj.ramesh","Domain: SAPIENS","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<52>Aug 28 14:58:39 HL-ANTIVIRUS SymantecServer: INLT249","SHA-256: 5379732000000000000000000000000000000000000000000000000000000000","MD-5: 53797320000000000000000000000000","Local: 10.21.33.195","Local: 137","Local: 34689514531D","Remote: 194.194.248.161","Remote: SAPIENS.INT","Remote: 57432","Remote: AC17C8A30D72","UDP","Inbound","Begin: 2019-08-28 14:57:32","End: 2019-08-28 14:57:33","Occurrences: 2","Application: C:/Windows/system32/NTOSKRNL.EXE","Rule: Block Local File Sharing","Location: External","User: selvaraj.ramesh","Domain: SAPIENS","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<54>Aug 28 16:05:19 HL-ANTIVIRUS SymantecServer: SIMONP-1299","SHA-256: ","MD-5: ","Local: 192.168.0.17","Local: 3","Local: 34E12D8E0A30","Remote: 192.168.0.1","Remote: ","Remote: 3","Remote: 788DF7E8FFD2","ICMP","Outbound","Begin: 2019-08-28 14:57:30","End: 2019-08-28 14:57:41","Occurrences: 3","Application: ","Rule: Block all other IP traffic and log","Location: External","User: simon.p","Domain: SAPIENS","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<54>Aug 28 14:59:59 HL-ANTIVIRUS SymantecServer: adptklt223","SHA-256: ","MD-5: ","Local: 192.168.1.201","Local: 3","Local: 3800256B161A","Remote: 192.168.1.254","Remote: ","Remote: 3","Remote: E83381A15FD0","ICMP","Outbound","Begin: 2019-08-28 14:57:26","End: 2019-08-28 14:57:55","Occurrences: 16","Application: ","Rule: Block all other IP traffic and log","Location: External","User: sfincher","Domain: ADAPTIK","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<52>Aug 28 14:58:39 HL-ANTIVIRUS SymantecServer: INLT249","SHA-256: 93b2ed4004ed5f7f3039dd7ecbd22c7e4e24b6373b4d9ef8d6e45a179b13a5e8","MD-5: C78655BC80301D76ED4FEF1C1EA40A7D","Local: 0.0.0.0","Local: 1900","Local: 34689514531D","Remote: 0.0.0.0","Remote: ","Remote: 1900","Remote: 33330000000C","UDP","Outbound","Begin: 2019-08-28 14:57:26","End: 2019-08-28 14:57:40","Occurrences: 18","Application: C:/Windows/System32/svchost.exe","Rule: Block UPnP Discovery","Location: External","User: LOCAL SERVICE","Domain: NT AUTHORITY","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<54>Aug 28 16:51:51 HL-ANTIVIRUS SymantecServer: ADPTKLT212","SHA-256: ","MD-5: ","Local: 192.168.0.8","Local: 3","Local: D43B047D4731","Remote: 208.59.247.46","Remote: ","Remote: 3","Remote: 5C8FE01D8667","ICMP","Outbound","Begin: 2019-08-28 14:57:26","End: 2019-08-28 14:57:26","Occurrences: 1","Application: ","Rule: Block all other IP traffic and log","Location: External","User: jdimauro","Domain: ADAPTIK","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<52>Aug 28 14:58:39 HL-ANTIVIRUS SymantecServer: INLT249","SHA-256: 93b2ed4004ed5f7f3039dd7ecbd22c7e4e24b6373b4d9ef8d6e45a179b13a5e8","MD-5: C78655BC80301D76ED4FEF1C1EA40A7D","Local: 10.21.33.195","Local: 1900","Local: 34689514531D","Remote: 239.255.255.250","Remote: ","Remote: 1900","Remote: 01005E7FFFFA","UDP","Outbound","Begin: 2019-08-28 14:57:26","End: 2019-08-28 14:57:40","Occurrences: 15","Application: C:/Windows/System32/svchost.exe","Rule: Block UPnP Discovery","Location: External","User: LOCAL SERVICE","Domain: NT AUTHORITY","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<54>Aug 28 16:05:19 HL-ANTIVIRUS SymantecServer: SIMONP-1299","SHA-256: ","MD-5: ","Local: 192.168.0.17","Local: 3","Local: 34E12D8E0A30","Remote: 192.168.0.1","Remote: ","Remote: 3","Remote: 788DF7E8FFD2","ICMP","Outbound","Begin: 2019-08-28 14:57:16","End: 2019-08-28 14:57:16","Occurrences: 1","Application: ","Rule: Block all other IP traffic and log","Location: External","User: simon.p","Domain: SAPIENS","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<54>Aug 28 15:09:01 HL-ANTIVIRUS SymantecServer: INLT732","SHA-256: ","MD-5: ","Local: 10.230.56.227","Local: 3","Local: E4B3188EFC5B","Remote: 10.38.246.78","Remote: ","Remote: 3","Remote: 00000C07AC18","ICMP","Outbound","Begin: 2019-08-28 14:57:14","End: 2019-08-28 14:57:14","Occurrences: 1","Application: ","Rule: Block all other IP traffic and log","Location: External","User: triptee.purwar","Domain: SAPIENS","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<54>Aug 28 16:51:51 HL-ANTIVIRUS SymantecServer: ADPTKLT212","SHA-256: ","MD-5: ","Local: 192.168.0.8","Local: 3","Local: D43B047D4731","Remote: 208.59.247.46","Remote: ","Remote: 3","Remote: 5C8FE01D8667","ICMP","Outbound","Begin: 2019-08-28 14:57:14","End: 2019-08-28 14:57:14","Occurrences: 1","Application: ","Rule: Block all other IP traffic and log","Location: External","User: jdimauro","Domain: ADAPTIK","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<54>Aug 28 15:04:01 HL-ANTIVIRUS SymantecServer: INLT1583","SHA-256: ","MD-5: ","Local: 192.168.0.101","Local: 3","Local: 74E5F9E05AF6","Remote: 192.168.0.1","Remote: ","Remote: 3","Remote: 48EE0C426EDC","ICMP","Outbound","Begin: 2019-08-28 14:57:13","End: 2019-08-28 14:57:13","Occurrences: 1","Application: ","Rule: Block all other IP traffic and log","Location: External","User: Snigdha.Prusty","Domain: SAPIENS","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<54>Aug 28 17:04:19 HL-ANTIVIRUS SymantecServer: ADPTKLT186","SHA-256: ","MD-5: ","Local: 192.168.0.2","Local: 3","Local: D43B04F48490","Remote: 123.176.37.35","Remote: ","Remote: 3","Remote: 48EE0C1CB1E4","ICMP","Outbound","Begin: 2019-08-28 14:57:12","End: 2019-08-28 14:57:12","Occurrences: 1","Application: ","Rule: Block all other IP traffic and log","Location: External","User: pkondapally","Domain: ADAPTIK","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<54>Aug 28 16:01:59 HL-ANTIVIRUS SymantecServer: adptklt204","SHA-256: ","MD-5: ","Local: 192.168.0.59","Local: 3","Local: 000EC68E1A10","Remote: 205.171.2.65","Remote: ","Remote: 3","Remote: 588BF361E2BF","ICMP","Outbound","Begin: 2019-08-28 14:57:09","End: 2019-08-28 14:57:09","Occurrences: 1","Application: ","Rule: Block all other IP traffic and log","Location: External","User: jwilson","Domain: ADAPTIK","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<54>Aug 28 15:20:59 HL-ANTIVIRUS SymantecServer: KALT-KrzysztofM","SHA-256: ","MD-5: ","Local: 10.181.10.18","Local: 3","Local: 68F728AF93AA","Remote: 10.181.100.11","Remote: KTWDC01.sapiens.int","Remote: 3","Remote: 00A5BF471BC6","ICMP","Outbound","Begin: 2019-08-28 14:57:02","End: 2019-08-28 14:57:02","Occurrences: 1","Application: ","Rule: Block all other IP traffic and log","Location: External","User: krzysztof.matuszewsk","Domain: SAPIENS","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<54>Aug 28 16:51:51 HL-ANTIVIRUS SymantecServer: ADPTKLT212","SHA-256: ","MD-5: ","Local: 192.168.0.8","Local: 3","Local: D43B047D4731","Remote: 208.59.247.45","Remote: ","Remote: 3","Remote: 5C8FE01D8667","ICMP","Outbound","Begin: 2019-08-28 14:56:53","End: 2019-08-28 14:56:53","Occurrences: 1","Application: ","Rule: Block all other IP traffic and log","Location: External","User: jdimauro","Domain: ADAPTIK","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<54>Aug 28 16:28:39 HL-ANTIVIRUS SymantecServer: KALT-TomaszL","SHA-256: ","MD-5: ","Local: 10.6.13.223","Local: 3","Local: 00059A3C7A00","Remote: 10.5.32.102","Remote: ","Remote: 3","Remote: 001122334455","ICMP","Outbound","Begin: 2019-08-28 14:56:52","End: 2019-08-28 14:56:52","Occurrences: 1","Application: ","Rule: Block all other IP traffic and log","Location: External","User: tomasz.lewicki","Domain: SAPIENS","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<54>Aug 28 16:05:19 HL-ANTIVIRUS SymantecServer: SIMONP-1299","SHA-256: ","MD-5: ","Local: 192.168.0.17","Local: 3","Local: 34E12D8E0A30","Remote: 192.168.0.1","Remote: ","Remote: 3","Remote: 788DF7E8FFD2","ICMP","Outbound","Begin: 2019-08-28 14:56:48","End: 2019-08-28 14:56:48","Occurrences: 1","Application: ","Rule: Block all other IP traffic and log","Location: External","User: simon.p","Domain: SAPIENS","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<54>Aug 28 16:07:59 HL-ANTIVIRUS SymantecServer: ADPTKLT156","SHA-256: ","MD-5: ","Local: 192.168.0.19","Local: 3","Local: 983B8F7B3B7B","Remote: 209.18.47.62","Remote: ","Remote: 3","Remote: E0885D13FF3E","ICMP","Outbound","Begin: 2019-08-28 14:56:45","End: 2019-08-28 14:56:45","Occurrences: 1","Application: ","Rule: Block all other IP traffic and log","Location: External","User: jkearse","Domain: ADAPTIK","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<54>Aug 28 15:09:01 HL-ANTIVIRUS SymantecServer: INLT732","SHA-256: ","MD-5: ","Local: 10.230.56.227","Local: 3","Local: E4B3188EFC5B","Remote: 10.38.246.77","Remote: ","Remote: 3","Remote: 00000C07AC18","ICMP","Outbound","Begin: 2019-08-28 14:56:44","End: 2019-08-28 14:56:44","Occurrences: 1","Application: ","Rule: Block all other IP traffic and log","Location: External","User: triptee.purwar","Domain: SAPIENS","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
